loc_rowid,pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_radj,pl_massj,pl_orbeccen,st_mass
968,HD 10180 c,HD 10180,1,6,5.75979000,0.064100,,,0.045000,1.06
969,HD 10180 c,HD 10180,1,6,5.75969000,0.064120,,,0.073000,1.06
970,HD 10180 d,HD 10180,1,6,16.35790000,0.128600,,,0.088000,1.06
971,HD 10180 d,HD 10180,1,6,16.35700000,0.128590,,,0.131000,1.06
972,HD 10180 e,HD 10180,1,6,49.74500000,0.269900,,,0.026000,1.06
973,HD 10180 e,HD 10180,1,6,49.74800000,0.269900,,,0.051000,1.06
974,HD 10180 f,HD 10180,1,6,122.76000000,0.492900,,,0.135000,1.06
975,HD 10180 f,HD 10180,1,6,122.74400000,0.492900,,,0.119000,1.06
976,HD 10180 g,HD 10180,1,6,601.20000000,1.422000,,,0.190000,1.06
977,HD 10180 g,HD 10180,1,6,604.67000000,1.427000,,,0.263000,1.06
978,HD 10180 h,HD 10180,1,6,2222.00000000,3.400000,,,0.080000,1.06
979,HD 10180 h,HD 10180,1,6,2205.00000000,3.381000,,,0.095000,1.06
1677,HD 219134 b,HD 219134,1,6,3.09292600,0.038760,0.143,0.01491,0.000000,0.81
1678,HD 219134 b,HD 219134,1,6,3.09350000,0.038200,0.143,,0.020000,0.78
1679,HD 219134 b,HD 219134,1,6,3.09310000,0.038474,,,0.000000,0.79
1680,HD 219134 c,HD 219134,1,6,6.76458000,0.065300,0.135,0.01372,0.062000,0.81
1681,HD 219134 c,HD 219134,1,6,6.76700000,0.064000,,,0.080000,0.78
1682,HD 219134 c,HD 219134,1,6,6.76350000,0.064816,,,0.000000,0.79
1683,HD 219134 d,HD 219134,1,6,46.71000000,0.235080,,,0.000000,0.79
1684,HD 219134 d,HD 219134,1,6,46.66000000,0.233000,,,0.460000,0.78
1685,HD 219134 d,HD 219134,1,6,46.85900000,0.237000,0.144,0.05088,0.138000,0.81
1686,HD 219134 f,HD 219134,1,6,22.80500000,0.145740,,,0.000000,0.79
1687,HD 219134 f,HD 219134,1,6,22.71700000,0.146300,0.117,0.02297,0.148000,0.81
1688,HD 219134 g,HD 219134,1,6,94.20000000,0.375300,,,0.000000,0.79
1689,HD 219134 h,HD 219134,1,6,2146.00000000,3.015000,,,0.060000,0.79
1690,HD 219134 h,HD 219134,1,6,2247.00000000,3.110000,,,0.060000,0.79
1691,HD 219134 h,HD 219134,1,6,1842.00000000,2.560000,,,0.340000,0.78
1835,HD 34445 b,HD 34445,1,6,1056.70000000,2.075000,,,0.014000,1.07
1836,HD 34445 b,HD 34445,1,6,1049.00000000,2.070000,,,0.270000,1.14
1837,HD 34445 b,HD 34445,1,6,1049.00000000,2.070000,,,0.270000,1.07
1838,HD 34445 c,HD 34445,1,6,214.67000000,0.718100,,,0.036000,1.07
1839,HD 34445 d,HD 34445,1,6,117.87000000,0.481700,,,0.027000,1.07
1840,HD 34445 e,HD 34445,1,6,49.17500000,0.268700,,,0.090000,1.07
1841,HD 34445 f,HD 34445,1,6,676.80000000,1.543000,,,0.031000,1.07
1842,HD 34445 g,HD 34445,1,6,5700.00000000,6.360000,,,0.032000,1.07
